Time,NodeId,X,Y,Z
0,0,4.5088e-13,4.5088e-13,7363.42
0,1,-4336.09,3.64754e-13,5954.38
0,2,111.314,0,-6355.8
0,3,78.711,78.711,-6355.8
0,1000,-111.314,1.3632e-14,-6355.79
0.1,0,4.5088e-13,4.5088e-13,7363.42
0.1,1,-4336.09,3.64754e-13,5954.38
0.1,2,111.314,0,-6355.8
0.1,3,78.711,78.711,-6355.8
0.1,1000,-111.314,1.3632e-14,-6355.79
0.2,0,4.5088e-13,4.5088e-13,7363.42
0.2,1,-4336.09,3.64754e-13,5954.38
0.2,2,111.314,0,-6355.8
0.2,3,78.711,78.711,-6355.8
0.2,1000,-111.314,1.3632e-14,-6355.79
0.3,0,4.5088e-13,4.5088e-13,7363.42
0.3,1,-4336.09,3.64754e-13,5954.38
0.3,2,111.314,0,-6355.8
0.3,3,78.711,78.711,-6355.8
0.3,1000,-111.314,1.3632e-14,-6355.79
0.4,0,4.5088e-13,4.5088e-13,7363.42
0.4,1,-4336.09,3.64754e-13,5954.38
0.4,2,111.314,0,-6355.8
0.4,3,78.711,78.711,-6355.8
0.4,1000,-111.314,1.3632e-14,-6355.79
0.5,0,4.5088e-13,4.5088e-13,7363.42
0.5,1,-4336.09,3.64754e-13,5954.38
0.5,2,111.314,0,-6355.8
0.5,3,78.711,78.711,-6355.8
0.5,1000,-111.314,1.3632e-14,-6355.79
0.6,0,4.5088e-13,4.5088e-13,7363.42
0.6,1,-4336.09,3.64754e-13,5954.38
0.6,2,111.314,0,-6355.8
0.6,3,78.711,78.711,-6355.8
0.6,1000,-111.314,1.3632e-14,-6355.79
0.7,0,4.5088e-13,4.5088e-13,7363.42
0.7,1,-4336.09,3.64754e-13,5954.38
0.7,2,111.314,0,-6355.8
0.7,3,78.711,78.711,-6355.8
0.7,1000,-111.314,1.3632e-14,-6355.79
0.8,0,4.5088e-13,4.5088e-13,7363.42
0.8,1,-4336.09,3.64754e-13,5954.38
0.8,2,111.314,0,-6355.8
0.8,3,78.711,78.711,-6355.8
0.8,1000,-111.314,1.3632e-14,-6355.79
0.9,0,4.5088e-13,4.5088e-13,7363.42
0.9,1,-4336.09,3.64754e-13,5954.38
0.9,2,111.314,0,-6355.8
0.9,3,78.711,78.711,-6355.8
0.9,1000,-111.314,1.3632e-14,-6355.79
1,0,-7.35524,4.50879e-13,7363.42
1,1,-4342.04,3.6449e-13,5950.05
1,2,111.314,0,-6355.8
1,3,78.711,78.711,-6355.8
1,1000,-111.314,-0.00809497,-6355.79
1.1,0,-7.35524,4.50879e-13,7363.42
1.1,1,-4342.04,3.6449e-13,5950.05
1.1,2,111.314,0,-6355.8
1.1,3,78.711,78.711,-6355.8
1.1,1000,-111.314,-0.00809497,-6355.79
