Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
3.5713e-05	UE  PHY Rxed	0	0	0	2	0	0	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	2	0	0	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	4	0	2	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	4	0	2	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	5	0	3	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	21	0	1	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	21	0	1	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	23	0	3	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	24	0	4	MIB
3.5713e-05	UE  PHY Rxed	0	0	0	24	0	4	MIB
0.00503571	UE  PHY Rxed	0	5	0	2	0	0	SIB1
0.00503571	UE  PHY Rxed	0	5	0	2	0	0	SIB1
0.00503571	UE  PHY Rxed	0	5	0	4	0	2	SIB1
0.00503571	UE  PHY Rxed	0	5	0	4	0	2	SIB1
0.00503571	UE  PHY Rxed	0	5	0	5	0	3	SIB1
0.00503571	UE  PHY Rxed	0	5	0	21	0	1	SIB1
0.00503571	UE  PHY Rxed	0	5	0	21	0	1	SIB1
0.00503571	UE  PHY Rxed	0	5	0	23	0	3	SIB1
0.00503571	UE  PHY Rxed	0	5	0	24	0	4	SIB1
0.00503571	UE  PHY Rxed	0	5	0	24	0	4	SIB1
0.0100357	UE  PHY Rxed	1	0	0	2	0	0	MIB
0.0100357	UE  PHY Rxed	1	0	0	2	0	0	MIB
0.0100357	UE  PHY Rxed	1	0	0	4	0	2	MIB
0.0100357	UE  PHY Rxed	1	0	0	4	0	2	MIB
0.0100357	UE  PHY Rxed	1	0	0	5	0	3	MIB
0.0100357	UE  PHY Rxed	1	0	0	21	0	1	MIB
0.0100357	UE  PHY Rxed	1	0	0	21	0	1	MIB
0.0100357	UE  PHY Rxed	1	0	0	23	0	3	MIB
0.0100357	UE  PHY Rxed	1	0	0	24	0	4	MIB
0.0100357	UE  PHY Rxed	1	0	0	24	0	4	MIB
0.0150357	UE  PHY Rxed	1	5	0	2	0	0	SIB1
0.0150357	UE  PHY Rxed	1	5	0	2	0	0	SIB1
0.0150357	UE  PHY Rxed	1	5	0	4	0	2	SIB1
0.0150357	UE  PHY Rxed	1	5	0	4	0	2	SIB1
0.0150357	UE  PHY Rxed	1	5	0	5	0	3	SIB1
0.0150357	UE  PHY Rxed	1	5	0	21	0	1	SIB1
0.0150357	UE  PHY Rxed	1	5	0	21	0	1	SIB1
0.0150357	UE  PHY Rxed	1	5	0	23	0	3	SIB1
0.0150357	UE  PHY Rxed	1	5	0	24	0	4	SIB1
0.0150357	UE  PHY Rxed	1	5	0	24	0	4	SIB1
0.0185357	UE  PHY Rxed	1	8	1	2	0	0	RAR
0.0185357	UE  PHY Rxed	1	8	1	2	0	0	RAR
0.0185357	UE  PHY Rxed	1	8	1	4	0	2	RAR
