Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	ENB PHY Txed	0	0	0	2	0	0	MIB
0	ENB PHY Txed	0	0	0	3	0	1	MIB
0	ENB PHY Txed	0	0	0	4	0	2	MIB
0	ENB PHY Txed	0	0	0	5	0	3	MIB
0	ENB PHY Txed	0	0	0	6	0	4	MIB
0	ENB PHY Txed	0	0	0	8	0	0	MIB
0	ENB PHY Txed	0	0	0	9	0	1	MIB
0	ENB PHY Txed	0	0	0	10	0	2	MIB
0	ENB PHY Txed	0	0	0	11	0	3	MIB
0	ENB PHY Txed	0	0	0	12	0	4	MIB
0	ENB PHY Txed	0	0	0	14	0	0	MIB
0	ENB PHY Txed	0	0	0	15	0	1	MIB
0	ENB PHY Txed	0	0	0	16	0	2	MIB
0	ENB PHY Txed	0	0	0	17	0	3	MIB
0	ENB PHY Txed	0	0	0	18	0	4	MIB
0	ENB PHY Txed	0	0	0	20	0	0	MIB
0	ENB PHY Txed	0	0	0	21	0	1	MIB
0	ENB PHY Txed	0	0	0	22	0	2	MIB
0	ENB PHY Txed	0	0	0	23	0	3	MIB
0	ENB PHY Txed	0	0	0	24	0	4	MIB
0	ENB PHY Txed	0	0	0	26	0	0	MIB
0	ENB PHY Txed	0	0	0	27	0	1	MIB
0	ENB PHY Txed	0	0	0	28	0	2	MIB
0	ENB PHY Txed	0	0	0	29	0	3	MIB
0	ENB PHY Txed	0	0	0	30	0	4	MIB
0	ENB PHY Txed	0	0	0	32	0	0	MIB
0	ENB PHY Txed	0	0	0	33	0	1	MIB
0	ENB PHY Txed	0	0	0	34	0	2	MIB
0	ENB PHY Txed	0	0	0	35	0	3	MIB
0	ENB PHY Txed	0	0	0	36	0	4	MIB
0	ENB PHY Txed	0	0	0	38	0	0	MIB
0	ENB PHY Txed	0	0	0	39	0	1	MIB
0	ENB PHY Txed	0	0	0	40	0	2	MIB
0	ENB PHY Txed	0	0	0	41	0	3	MIB
0	ENB PHY Txed	0	0	0	42	0	4	MIB
0	ENB PHY Txed	0	0	0	44	0	0	MIB
0	ENB PHY Txed	0	0	0	45	0	1	MIB
0	ENB PHY Txed	0	0	0	46	0	2	MIB
0	ENB PHY Txed	0	0	0	47	0	3	MIB
0	ENB PHY Txed	0	0	0	48	0	4	MIB
0.005	ENB PHY Txed	0	5	0	26	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	32	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	38	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	44	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	2	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	3	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	4	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	5	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	6	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	8	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	9	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	10	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	11	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	12	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	14	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	15	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	16	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	17	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	18	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	20	0	0	SIB1
0.005	ENB PHY Txed	0	5	0	21	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	22	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	23	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	24	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	27	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	33	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	39	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	45	0	1	SIB1
0.005	ENB PHY Txed	0	5	0	28	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	34	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	40	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	46	0	2	SIB1
0.005	ENB PHY Txed	0	5	0	29	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	35	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	41	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	47	0	3	SIB1
0.005	ENB PHY Txed	0	5	0	30	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	36	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	42	0	4	SIB1
0.005	ENB PHY Txed	0	5	0	48	0	4	SIB1
0.01	ENB PHY Txed	1	0	0	26	0	0	MIB
0.01	ENB PHY Txed	1	0	0	32	0	0	MIB
0.01	ENB PHY Txed	1	0	0	38	0	0	MIB
0.01	ENB PHY Txed	1	0	0	44	0	0	MIB
0.01	ENB PHY Txed	1	0	0	2	0	0	MIB
0.01	ENB PHY Txed	1	0	0	3	0	1	MIB
0.01	ENB PHY Txed	1	0	0	4	0	2	MIB
0.01	ENB PHY Txed	1	0	0	5	0	3	MIB
0.01	ENB PHY Txed	1	0	0	6	0	4	MIB
0.01	ENB PHY Txed	1	0	0	8	0	0	MIB
0.01	ENB PHY Txed	1	0	0	9	0	1	MIB
0.01	ENB PHY Txed	1	0	0	10	0	2	MIB
