Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0179286	1	0	0	1	0	-98.9102
0.0478571	1	0	0	1	0	-98.9102
0.127857	1	0	0	1	0	-98.9102
0.207857	1	0	0	1	0	-98.9102
0.287857	1	0	0	1	0	-98.9102
0.367857	1	0	0	1	0	-98.9102
0.447857	1	0	0	1	0	-98.9102
0.527857	1	0	0	1	0	-98.9102
0.607857	1	0	0	1	0	-98.9102
0.687857	1	0	0	1	0	-98.9102
0.767857	1	0	0	1	0	-98.9102
0.847857	1	0	0	1	0	-98.9102
0.927857	1	0	0	1	0	-98.9102
1.00786	1	0	0	1	0	-98.9102
1.08786	1	0	0	1	0	-98.9102
1.16786	1	0	0	1	0	-98.9102
1.20693	1	0	0	1	0	-98.9102
1.20793	1	0	0	1	0	-98.9102
1.24786	1	0	0	1	0	-98.9102
1.30693	1	0	0	1	0	-98.9102
1.30793	1	0	0	1	0	-98.9102
1.32786	1	0	0	1	0	-98.9102
1.40693	1	0	0	1	0	-98.9102
1.40786	1	0	0	1	0	-98.9102
1.40793	1	0	0	1	0	-98.9102
1.48786	1	0	0	1	0	-98.9102
1.50693	1	0	0	1	0	-98.9102
1.50793	1	0	0	1	0	-98.9102
1.56786	1	0	0	1	0	-98.9102
1.60693	1	0	0	1	0	-98.9102
1.60793	1	0	0	1	0	-98.9102
1.64786	1	0	0	1	0	-98.9102
1.72786	1	0	0	1	0	-98.9102
1.80786	1	0	0	1	0	-98.9102
1.88786	1	0	0	1	0	-98.9102
1.96786	1	0	0	1	0	-98.9102
