#Time(s) qlen(pkts) qlen(us)
4.00 182 218
4.01 182 218
4.02 170 204
4.03 173 207
4.04 169 202
4.05 178 213
4.06 170 204
4.07 163 195
4.08 173 207
4.09 170 204
4.10 177 212
4.11 173 207
4.12 182 218
4.13 181 217
4.14 178 213
4.15 177 212
4.16 178 213
4.17 182 218
4.18 182 218
4.19 184 220
4.20 175 210
4.21 173 207
4.22 181 217
4.23 173 207
4.24 175 210
4.25 180 216
4.26 169 202
4.27 174 208
4.28 178 213
4.29 177 212
4.30 176 211
4.31 178 213
4.32 177 212
4.33 178 213
4.34 178 213
4.35 178 213
4.36 180 216
4.37 177 212
4.38 175 210
4.39 180 216
4.40 188 225
4.41 183 219
4.42 168 201
4.43 169 202
4.44 181 217
4.45 178 213
4.46 185 222
4.47 185 222
4.48 182 218
4.49 179 214
4.50 175 210
4.51 178 213
4.52 172 206
4.53 177 212
4.54 178 213
4.55 177 212
4.56 167 200
4.57 172 206
4.58 175 210
4.59 178 213
4.60 177 212
4.61 176 211
4.62 176 211
4.63 170 204
4.64 175 210
4.65 176 211
4.66 179 214
4.67 180 216
4.68 186 223
4.69 168 201
4.70 168 201
4.71 170 204
4.72 180 216
4.73 172 206
4.74 180 216
4.75 180 216
4.76 174 208
4.77 184 220
4.78 177 212
4.79 172 206
4.80 180 216
4.81 181 217
4.82 174 208
4.83 180 216
4.84 172 206
4.85 173 207
4.86 177 212
4.87 179 214
4.88 169 202
4.89 174 208
4.90 174 208
4.91 174 208
4.92 176 211
4.93 180 216
4.94 175 210
4.95 171 205
4.96 168 201
4.97 173 207
4.98 174 208
4.99 179 214
5.00 174 208
